Team,Wins-Losses,Adjusted efficiency margin,Offensive Efficiency ,Defensive Efficiency ,Adjusted Tempo,Luck,Stength of Schedule Rating,Average adjusted offensive efficiency of opposing opponents ,Average adjusted defensive efficiency of opposing defenses,
Duke,31-3,38.16,128,89.8,65.7,-0.019,10.03,112.4,102.4,9.31
Florida,30-4,36.16,128.6,92.4,69.6,0.007,14.42,114.5,100,-2.02
Houston,30-4,35.44,123.2,87.8,61.4,0.015,13.66,113.5,99.9,2.56
Auburn,28-5,35.05,128.4,93.4,67.6,0.03,18.97,117.1,98.1,10.08
Tennessee,27-7,31.15,120.3,89.1,63.6,0.016,15.95,116.6,100.7,-0.88
Alabama,25-8,29.93,126.5,96.6,74.9,0.029,19.49,118.2,98.7,11.76
Texas Tech,25-8,28.05,125.3,97.2,65.4,-0.045,11.25,111.8,100.6,-4.63
Michigan State,27-6,27.57,118.1,90.6,67.7,-0.009,13.34,114.2,100.8,0.33
Gonzaga,25-8,27.29,123.6,96.3,70.2,-0.074,7,110.8,103.8,8.86
Iowa St.,24-9,26.99,119.4,92.4,68.6,-0.048,12.62,113.3,100.7,-0.9
St. John's,30-4,26.38,113.9,87.5,70.1,-0.019,9.11,111.8,102.7,-0.01
Maryland,25-8,26.35,118.1,91.8,69.8,-0.038,10.93,113,102.1,-10.47
Wisconsin,26-9,25.97,122,96,67.6,-0.033,13.86,114.2,100.4,-0.16
Arizona,22-12,25.72,122.5,96.8,69.9,-0.049,16.38,115.2,98.8,5.09
Missouri,22-11,24.42,125.3,100.9,68.2,-0.048,13.03,113.7,100.7,-9.41
Kentucky,22-11,24.26,123.8,99.5,70.9,0.007,17.84,116.8,99,3.71
Texas A&M,22-10,24.08,116.2,92.1,66.1,0.001,16.14,115.5,99.3,7.04
Clemson,27-6,23.93,118.7,94.7,64.2,-0.032,8.3,111.4,103.1,3.67
Purdue,22-11,23.84,124.2,100.4,65,-0.007,15.71,115.4,99.7,10.3
Illinois,21-12,23.56,121.6,98.1,71.3,-0.018,15.93,115,99,3.34
Kansas,21-12,23.26,116,92.7,68.3,-0.024,15.48,114.8,99.3,8.59
Saint Mary's,28-5,23.09,115.3,92.2,61.7,0.005,5.35,111,105.6,5.13
Louisville,27-7,22.64,118.1,95.5,68.7,0.058,10.34,112.6,102.3,7.05
BYU,24-9,22.39,123,100.6,67.2,0.036,11.12,111.8,100.7,-7.7
Michigan,25-9,22.28,116,93.7,69.4,0.07,14.84,114.4,99.6,3.72
Mississippi,22-11,22.09,117.8,95.8,68,0.018,15.8,115.1,99.3,-0.63
UCLA,22-10,21.76,116.8,95.1,64.9,-0.008,12.54,113.6,101.1,-5.17
Marquette,23-10,21.58,117.7,96.1,67.6,-0.013,12.5,113,100.5,8.69
Baylor,19-14,21.15,120.8,99.7,64.5,-0.054,15.67,113.7,98,7.61
VCU,28-6,20.61,116.3,95.7,66.1,-0.051,1.3,106.9,105.6,-4.07
Oregon,24-9,20.15,116.6,96.5,67.6,0.085,14.15,114.3,100.2,4.25
Mississippi State,21-12,20.1,118.7,98.6,68.1,0.012,14.8,115,100.2,0.57
North Carolina,22-13,19.55,118.9,99.3,70.4,-0.019,12.18,113.3,101.2,13.34
Georgia,20-12,19.39,115.4,96,66.4,-0.001,13.64,113.9,100.2,-5.37
Connecticut,23-10,19.34,121.9,102.6,63.7,-0.019,10.09,112,102,-0.17
UC San Diego,30-4,18.77,115.2,96.5,65.6,0.01,-1.63,105.8,107.4,-1.96
Creighton,24-10,18.7,116.9,98.2,67,0.049,11.49,112.2,100.7,5.57
Oklahoma,20-13,18.36,119,100.7,68.5,0.005,14.64,114.5,99.9,-5.35
Ohio State,17-15,18.29,117.6,99.3,67,-0.07,14.35,114.6,100.3,3.03
Arkansas,20-13,17.71,112.9,95.2,69.3,-0.008,13.85,114.7,100.9,-2.6
New Mexico,26-7,17.32,112.5,95.2,72.7,0,6.29,109.1,102.8,5.12
Colorado State,25-9,17.29,116.2,98.9,65.9,0.025,5.87,109.4,103.5,1.56
Xavier,21-11,17.2,115.5,98.3,69.1,-0.02,9.39,111.1,101.7,-1.2
Texas,19-15,17.15,116.7,99.5,67.4,-0.057,14,114.2,100.2,-8.26
Northwestern,17-16,16.42,113.9,97.5,64.9,-0.089,12.44,113.6,101.2,-2.02
San Diego State,21-9,16.27,109.8,93.5,66,0.01,8.73,111.1,102.4,13.08
SMU,23-10,16.19,116.6,100.4,68.4,0.011,6.01,110.2,104.2,-3.82
Indiana,19-13,16.18,113.6,97.4,67.9,0.024,13.27,114.3,101.1,1.23
Vanderbilt ,20-12,16.16,117.9,101.8,69.4,0.025,12.91,113.6,100.7,-6.86
Boise State,24-10,16,116,100,65.2,0.001,6.4,109.1,102.7,1.62
Memphis,29-5,15.35,113.1,97.8,70.8,0.09,6.03,111.1,105,15.59
Utah State,26-7,15.22,120.7,105.5,67.5,0.086,5.69,108.7,103,0.93
West Virginia,19-13,15.1,109,93.9,64.2,0.023,13.17,113,99.8,0.97
Nebraska,17-14,14.84,113.2,98.4,67.3,-0.01,12.17,113.6,101.5,-3
Cincinnati,18-15,14.81,110.5,95.7,65.4,-0.049,11.39,112.3,100.9,-4.98
Villanova,19-14,14.25,118.2,104,63,-0.072,7.71,110.4,102.7,-6.27
Santa Clara,20-12,14.14,115.8,101.7,68.8,-0.051,4.16,109.5,105.3,3.75
Drake,30-3,14.14,112.6,98.5,58.8,0.004,-0.49,107.2,107.7,-2.68
McNeese,27-6,13.69,114.3,100.6,65.3,-0.023,-2.48,104.6,107.1,8.73
Penn State,16-15,13.65,114.7,101,69.8,-0.093,9.31,111.9,102.6,-10.57
Pittsburgh,17-15,13.63,115.7,102.1,66.2,-0.068,8.72,111.8,103.1,3.68
Liberty,28-6,13.53,112.5,98.9,65.3,0,0.41,105.9,105.5,-2.93
USC,16-17,12.96,116.6,103.7,68.2,-0.043,12.15,113.3,101.2,-2.05
Iowa,17-16,12.81,119.6,106.8,69.5,-0.037,12.26,113.5,101.3,-8.42
San Francisco,24-9,12.68,111.7,99,67.7,0.053,3.76,109.6,105.8,-0.89
UC Irvine,28-6,12.37,107.5,95.1,68.7,0.059,0.72,107.1,106.4,4.11
Kansas State,16-17,12.2,109.4,97.1,67,-0.037,12.83,112.4,99.6,-1.18
UCF,17-16,11.59,115.4,103.8,71.9,0.025,11.98,111.6,99.6,-1.07
South Carolina,12-20,11.48,110.4,98.9,65.3,-0.088,14.44,114.8,100.4,-2.03
Arizona State,13-19,11.24,112.5,101.3,68.4,-0.019,15.58,114.6,99,8.32
